Chromosome chrom_length
NW_020130905.1 77102
NW_020130906.1 38577
NW_020130907.1 59600
NW_020130908.1 38543
NW_020130909.1 59825
NW_020130910.1 61519
NW_020130911.1 38468
NW_020130912.1 38464
NW_020130913.1 38452
NW_020130914.1 38437
NW_020130915.1 38434
NW_020130916.1 38416
NW_020130917.1 38408
NW_020130918.1 38381
NW_020130919.1 49080
NW_020130920.1 38269
NW_020130921.1 38262
NW_020130922.1 38219
NW_020130923.1 142865
NW_020130924.1 68056
NW_020130925.1 46390
NW_020130926.1 98780
NW_020130927.1 38191
NW_020130928.1 38157
NW_020130929.1 38150
NW_020130930.1 38117
NW_020130931.1 38116
NW_020130932.1 38065
NW_020130933.1 100743
NW_020130934.1 85716
NW_020130935.1 37988
NW_020130936.1 37977
NW_020130937.1 37966
NW_020130938.1 97537
NW_020130939.1 37918
NW_020130940.1 37904
NW_020130941.1 37889
NW_020130942.1 37884
NW_020130943.1 70436
NW_020130944.1 49701
NW_020130945.1 47209
NW_020130946.1 37782
NW_020130947.1 37772
NW_020130948.1 76078
NW_020130949.1 84161
NW_020130950.1 37739
NW_020130951.1 68184
NW_020130952.1 51859
NW_020130953.1 37665
NW_020130954.1 52456
NW_020130955.1 73626
NW_020130956.1 67897
NW_020130957.1 37584
NW_020130958.1 37540
NW_020130959.1 37525
NW_020130960.1 37507
NW_020130961.1 95777
NW_020130962.1 37485
NW_020130963.1 37467
NW_020130964.1 37467
NW_020130965.1 37463
NW_020130966.1 37459
NW_020130967.1 50340
NW_020130968.1 57374
NW_020130969.1 37402
NW_020130970.1 58974
NW_020130971.1 37360
NW_020130972.1 37335
NW_020130973.1 246197
NW_020130974.1 63437
NW_020130975.1 65732
NW_020130976.1 73978
NW_020130977.1 37230
NW_020130978.1 37220
NW_020130979.1 37201
NW_020130980.1 37188
NW_020130981.1 69022
NW_020130982.1 37140
NW_020130983.1 37123
NW_020130984.1 80896
NW_020130985.1 37068
NW_020130986.1 37063
NW_020130987.1 63504
NW_020130988.1 36996
NW_020130989.1 36987
NW_020130990.1 36976
NW_020130991.1 36971
NW_020130992.1 39065
NW_020130993.1 36854
NW_020130994.1 36834
NW_020130995.1 45559
NW_020130996.1 36716
NW_020130997.1 36680
NW_020130998.1 36677
NW_020130999.1 36630
NW_020131000.1 61787
NW_020131001.1 67923
NW_020131002.1 62655
NW_020131003.1 55165
NW_020131004.1 36515
NW_020131005.1 36492
NW_020131006.1 36429
NW_020131007.1 36420
NW_020131008.1 36369
NW_020131009.1 36357
NW_020131010.1 63896
NW_020131011.1 115446
NW_020131012.1 36303
NW_020131013.1 36291
NW_020131014.1 36249
NW_020131015.1 36195
NW_020131016.1 84902
NW_020131017.1 50199
NW_020131018.1 36154
NW_020131019.1 76703
NW_020131020.1 36106
NW_020131021.1 36092
NW_020131022.1 36041
NW_020131023.1 89214
NW_020131024.1 35999
NW_020131025.1 59180
NW_020131026.1 35949
NW_020131027.1 35924
NW_020131028.1 43264
NW_020131029.1 35882
NW_020131030.1 117069
NW_020131031.1 35815
NW_020131032.1 106571
NW_020131033.1 35813
NW_020131034.1 59364
NW_020131035.1 35773
NW_020131036.1 46138
NW_020131037.1 40902
NW_020131038.1 35693
NW_020131039.1 49253
NW_020131040.1 35644
NW_020131041.1 84556
NW_020131042.1 44498
NW_020131043.1 54211
NW_020131044.1 35583
NW_020131045.1 47161
NW_020131046.1 82940
NW_020131047.1 35515
NW_020131048.1 35506
NW_020131049.1 35484
NW_020131050.1 35474
NW_020131051.1 35412
NW_020131052.1 50402
NW_020131053.1 97834
NW_020131054.1 68450
NW_020131055.1 48711
NW_020131056.1 35338
NW_020131057.1 71945
NW_020131058.1 35236
NW_020131059.1 35225
NW_020131060.1 35119
NW_020131061.1 49104
NW_020131062.1 35055
NW_020131063.1 57161
NW_020131064.1 38597
NW_020131065.1 34988
NW_020131066.1 36037
NW_020131067.1 38013
NW_020131068.1 36026
NW_020131069.1 43964
NW_020131070.1 34948
NW_020131071.1 34913
NW_020131072.1 53421
NW_020131073.1 34890
NW_020131074.1 34884
NW_020131075.1 34876
NW_020131076.1 79944
NW_020131077.1 79523
NW_020131078.1 34814
NW_020131079.1 34809
NW_020131080.1 66213
NW_020131081.1 34729
NW_020131082.1 34726
NW_020131083.1 41300
NW_020131084.1 117361
NW_020131085.1 34685
NW_020131086.1 61768
NW_020131087.1 34664
NW_020131088.1 171152
NW_020131089.1 51339
NW_020131090.1 34611
NW_020131091.1 34578
NW_020131092.1 34550
NW_020131093.1 66951
NW_020131094.1 82106
NW_020131095.1 34501
NW_020131096.1 63083
NW_020131097.1 34491
NW_020131098.1 43437
NW_020131099.1 42299
NW_020131100.1 34335
NW_020131101.1 45934
NW_020131102.1 82965
NW_020131103.1 34281
NW_020131104.1 41147
NW_020131105.1 56980
NW_020131106.1 34220
NW_020131107.1 34217
NW_020131108.1 34216
NW_020131109.1 34177
NW_020131110.1 76598
NW_020131111.1 81829
NW_020131112.1 59295
NW_020131113.1 86107
NW_020131114.1 34079
NW_020131115.1 44385
NW_020131116.1 34052
NW_020131117.1 34045
NW_020131118.1 34024
NW_020131119.1 33994
NW_020131120.1 33991
NW_020131121.1 33979
NW_020131122.1 42917
NW_020131123.1 56898
NW_020131124.1 33911
NW_020131125.1 99094
NW_020131126.1 33885
NW_020131127.1 44452
NW_020131128.1 33781
NW_020131129.1 33770
NW_020131130.1 44241
NW_020131131.1 50368
NW_020131132.1 77047
NW_020131133.1 33692
NW_020131134.1 44734
NW_020131135.1 33663
NW_020131136.1 84045
NW_020131137.1 43085
NW_020131138.1 59524
NW_020131139.1 33532
NW_020131140.1 55747
NW_020131141.1 41727
NW_020131142.1 33443
NW_020131143.1 52189
NW_020131144.1 56587
NW_020131145.1 60768
NW_020131146.1 33371
NW_020131147.1 40551
NW_020131148.1 54180
NW_020131149.1 56802
NW_020131150.1 33292
NW_020131151.1 33280
NW_020131152.1 33277
NW_020131153.1 33245
NW_020131154.1 63949
NW_020131155.1 51764
NW_020131156.1 33183
NW_020131157.1 33152
NW_020131158.1 71921
NW_020131159.1 33144
NW_020131160.1 33129
NW_020131161.1 33111
NW_020131162.1 33099
NW_020131163.1 53093
NW_020131164.1 38529
NW_020131165.1 33093
NW_020131166.1 33073
NW_020131167.1 33067
NW_020131168.1 33049
NW_020131169.1 33033
NW_020131170.1 55441
NW_020131171.1 33011
NW_020131172.1 32999
NW_020131173.1 32982
NW_020131174.1 44613
NW_020131175.1 32944
NW_020131176.1 66505
NW_020131177.1 32881
NW_020131178.1 32842
NW_020131179.1 58368
NW_020131180.1 32762
NW_020131181.1 32761
NW_020131182.1 114946
NW_020131183.1 32747
NW_020131184.1 47982
NW_020131185.1 32727
NW_020131186.1 32720
NW_020131187.1 32716
NW_020131188.1 60214
NW_020131189.1 32704
NW_020131190.1 32634
NW_020131191.1 44211
NW_020131192.1 32617
NW_020131193.1 32580
NW_020131194.1 64627
NW_020131195.1 47767
NW_020131196.1 32541
NW_020131197.1 32518
NW_020131198.1 36382
NW_020131199.1 34418
NW_020131200.1 43163
NW_020131201.1 39354
NW_020131202.1 35084
NW_020131203.1 32399
NW_020131204.1 32378
NW_020131205.1 32375
NW_020131206.1 32363
NW_020131207.1 32345
NW_020131208.1 32327
NW_020131209.1 66775
NW_020131210.1 36322
NW_020131211.1 32310
NW_020131212.1 53154
NW_020131213.1 56101
NW_020131214.1 32247
NW_020131215.1 60451
NW_020131216.1 32214
NW_020131217.1 43550
NW_020131218.1 32191
NW_020131219.1 32107
NW_020131220.1 32107
NW_020131221.1 32084
NW_020131222.1 32068
NW_020131223.1 32049
NW_020131224.1 32037
NW_020131225.1 36959
NW_020131226.1 74802
NW_020131227.1 146594
NW_020131228.1 64317
NW_020131229.1 32001
NW_020131230.1 31996
NW_020131231.1 31948
NW_020131232.1 46737
NW_020131233.1 31906
NW_020131234.1 44065
NW_020131235.1 31795
NW_020131236.1 31780
NW_020131237.1 31760
NW_020131238.1 31743
NW_020131239.1 47000
NW_020131240.1 31671
NW_020131241.1 31652
NW_020131242.1 31636
NW_020131243.1 63284
NW_020131244.1 38283
NW_020131245.1 31607
NW_020131246.1 37916
NW_020131247.1 60486
NW_020131248.1 21551
NW_020131249.1 49530
NW_020131250.1 31525
NW_020131251.1 31505
NW_020131252.1 31467
NW_020131253.1 31461
NW_020131254.1 31455
NW_020131255.1 31411
NW_020131256.1 69764
NW_020131257.1 62412
NW_020131258.1 67277
NW_020131259.1 58227
NW_020131260.1 31379
NW_020131261.1 31328
NW_020131262.1 31290
NW_020131263.1 31265
NW_020131264.1 34727
NW_020131265.1 31233
NW_020131266.1 31227
NW_020131267.1 153447
NW_020131268.1 35759
NW_020131269.1 109630
NW_020131270.1 73156
NW_020131271.1 43199
NW_020131272.1 41232
NW_020131273.1 31131
NW_020131274.1 31124
NW_020131275.1 114083
NW_020131276.1 72709
NW_020131277.1 154318
NW_020131278.1 74653
NW_020131279.1 31047
NW_020131280.1 31025
NW_020131281.1 72786
NW_020131282.1 35516
NW_020131283.1 30981
NW_020131284.1 84251
NW_020131285.1 97689
NW_020131286.1 71351
NW_020131287.1 30932
NW_020131288.1 30919
NW_020131289.1 30912
NW_020131290.1 54379
NW_020131291.1 45663
NW_020131292.1 30873
NW_020131293.1 43600
NW_020131294.1 30860
NW_020131295.1 37050
NW_020131296.1 44875
NW_020131297.1 30787
NW_020131298.1 49487
NW_020131299.1 30740
NW_020131300.1 30733
NW_020131301.1 36075
NW_020131302.1 30672
NW_020131303.1 30648
NW_020131304.1 30557
NW_020131305.1 30540
NW_020131306.1 36452
NW_020131307.1 30521
NW_020131308.1 30512
NW_020131309.1 35218
NW_020131310.1 116892
NW_020131311.1 52388
NW_020131312.1 30400
NW_020131313.1 100690
NW_020131314.1 66695
NW_020131315.1 30370
NW_020131316.1 30342
NW_020131317.1 30334
NW_020131318.1 39717
NW_020131319.1 30289
NW_020131320.1 51851
NW_020131321.1 48691
NW_020131322.1 30281
NW_020131323.1 30280
NW_020131324.1 30233
NW_020131325.1 30229
NW_020131326.1 40558
NW_020131327.1 30211
NW_020131328.1 44340
NW_020131329.1 30170
NW_020131330.1 30164
NW_020131331.1 156971
NW_020131332.1 45445
NW_020131333.1 87732
NW_020131334.1 33993
NW_020131335.1 30123
NW_020131336.1 30107
NW_020131337.1 30080
NW_020131338.1 30043
NW_020131339.1 45277
NW_020131340.1 29988
NW_020131341.1 46537
NW_020131342.1 31333
NW_020131343.1 53904
NW_020131344.1 29938
NW_020131345.1 29930
NW_020131346.1 29913
NW_020131347.1 77249
NW_020131348.1 29886
NW_020131349.1 58043
NW_020131350.1 29872
NW_020131351.1 48876
NW_020131352.1 54989
NW_020131353.1 29820
NW_020131354.1 29810
NW_020131355.1 29802
NW_020131356.1 29783
NW_020131357.1 29769
NW_020131358.1 29752
NW_020131359.1 62724
NW_020131360.1 29732
NW_020131361.1 29723
NW_020131362.1 29709
NW_020131363.1 29702
NW_020131364.1 70213
NW_020131365.1 46510
NW_020131366.1 29633
NW_020131367.1 29616
NW_020131368.1 29614
NW_020131369.1 29597
NW_020131370.1 29596
NW_020131371.1 50643
NW_020131372.1 29581
NW_020131373.1 29570
NW_020131374.1 29510
NW_020131375.1 29481
NW_020131376.1 31123
NW_020131377.1 29414
NW_020131378.1 41567
NW_020131379.1 29413
NW_020131380.1 34278
NW_020131381.1 29397
NW_020131382.1 46737
NW_020131383.1 52334
NW_020131384.1 29387
NW_020131385.1 37251
NW_020131386.1 29333
NW_020131387.1 89634
NW_020131388.1 29328
NW_020131389.1 29323
NW_020131390.1 29320
NW_020131391.1 29318
NW_020131392.1 50445
NW_020131393.1 29311
NW_020131394.1 29304
NW_020131395.1 29288
NW_020131396.1 125510
NW_020131397.1 59295
NW_020131398.1 29266
NW_020131399.1 29240
NW_020131400.1 50137
NW_020131401.1 29211
NW_020131402.1 146204
NW_020131403.1 55858
NW_020131404.1 101567
NW_020131405.1 55964
NW_020131406.1 29134
NW_020131407.1 47573
NW_020131408.1 29083
NW_020131409.1 29070
NW_020131410.1 35578
NW_020131411.1 49167
NW_020131412.1 30357
NW_020131413.1 80841
NW_020131414.1 28957
NW_020131415.1 28956
NW_020131416.1 86617
NW_020131417.1 28927
NW_020131418.1 28926
NW_020131419.1 28922
NW_020131420.1 28912
NW_020131421.1 28910
NW_020131422.1 28902
NW_020131423.1 28883
NW_020131424.1 28869
NW_020131425.1 28867
NW_020131426.1 54056
NW_020131427.1 28860
NW_020131428.1 28827
NW_020131429.1 28823
NW_020131430.1 28802
NW_020131431.1 28800
NW_020131432.1 28759
NW_020131433.1 28750
NW_020131434.1 28738
NW_020131435.1 39054
NW_020131436.1 75127
NW_020131437.1 28685
NW_020131438.1 28671
NW_020131439.1 99525
NW_020131440.1 55735
NW_020131441.1 28631
NW_020131442.1 28621
NW_020131443.1 28579
NW_020131444.1 42966
NW_020131445.1 28566
NW_020131446.1 28513
NW_020131447.1 90203
NW_020131448.1 28498
NW_020131449.1 52024
NW_020131450.1 28440
NW_020131451.1 28436
NW_020131452.1 28432
NW_020131453.1 50856
NW_020131454.1 54260
NW_020131455.1 28405
NW_020131456.1 28399
NW_020131457.1 28389
NW_020131458.1 28385
NW_020131459.1 56554
NW_020131460.1 28339
NW_020131461.1 61053
NW_020131462.1 103570
NW_020131463.1 47662
NW_020131464.1 39670
NW_020131465.1 28222
NW_020131466.1 28221
NW_020131467.1 81657
NW_020131468.1 51468
NW_020131469.1 44604
NW_020131470.1 28128
NW_020131471.1 28114
NW_020131472.1 28071
NW_020131473.1 28060
NW_020131474.1 28057
NW_020131475.1 28049
NW_020131476.1 28034
NW_020131477.1 44080
NW_020131478.1 28011
NW_020131479.1 28008
NW_020131480.1 32123
NW_020131481.1 27955
NW_020131482.1 46446
NW_020131483.1 43143
NW_020131484.1 27921
NW_020131485.1 27918
NW_020131486.1 58880
NW_020131487.1 27895
NW_020131488.1 27872
NW_020131489.1 27840
NW_020131490.1 53974
NW_020131491.1 27807
NW_020131492.1 40541
NW_020131493.1 43375
NW_020131494.1 27748
NW_020131495.1 27739
NW_020131496.1 43839
NW_020131497.1 62922
NW_020131498.1 27731
NW_020131499.1 27689
NW_020131500.1 27689
NW_020131501.1 78248
NW_020131502.1 27630
NW_020131503.1 36231
NW_020131504.1 27617
NW_020131505.1 27602
NW_020131506.1 52318
NW_020131507.1 63643
NW_020131508.1 27564
NW_020131509.1 27557
NW_020131510.1 27555
NW_020131511.1 27550
NW_020131512.1 27546
NW_020131513.1 49855
NW_020131514.1 27537
NW_020131515.1 27532
NW_020131516.1 50038
NW_020131517.1 71407
NW_020131518.1 34070
NW_020131519.1 27496
NW_020131520.1 27494
NW_020131521.1 32767
NW_020131522.1 27456
NW_020131523.1 27451
NW_020131524.1 27443
NW_020131525.1 27441
NW_020131526.1 27410
NW_020131527.1 35987
NW_020131528.1 68945
NW_020131529.1 43803
NW_020131530.1 53842
NW_020131531.1 60273
NW_020131532.1 27333
NW_020131533.1 61907
NW_020131534.1 27325
NW_020131535.1 29173
NW_020131536.1 30911
NW_020131537.1 27231
NW_020131538.1 27224
NW_020131539.1 27224
NW_020131540.1 246315
NW_020131541.1 73874
NW_020131542.1 27142
NW_020131543.1 27123
NW_020131544.1 56185
NW_020131545.1 35451
NW_020131546.1 27046
NW_020131547.1 27045
NW_020131548.1 27038
NW_020131549.1 56230
NW_020131550.1 40061
NW_020131551.1 26993
NW_020131552.1 26989
NW_020131553.1 33128
NW_020131554.1 26950
NW_020131555.1 26933
NW_020131556.1 26931
NW_020131557.1 26930
NW_020131558.1 26921
NW_020131559.1 56511
NW_020131560.1 26882
NW_020131561.1 61304
NW_020131562.1 26856
NW_020131563.1 38334
NW_020131564.1 26844
NW_020131565.1 26836
NW_020131566.1 26834
NW_020131567.1 26815
NW_020131568.1 26814
NW_020131569.1 38539
NW_020131570.1 50267
NW_020131571.1 106605
NW_020131572.1 26754
NW_020131573.1 26749
NW_020131574.1 26740
NW_020131575.1 26724
NW_020131576.1 26721
NW_020131577.1 26719
NW_020131578.1 26703
NW_020131579.1 41162
NW_020131580.1 26678
NW_020131581.1 26673
NW_020131582.1 26668
NW_020131583.1 26650
NW_020131584.1 29271
NW_020131585.1 26635
NW_020131586.1 26619
NW_020131587.1 27754
NW_020131588.1 28912
NW_020131589.1 57686
NW_020131590.1 26553
NW_020131591.1 26551
NW_020131592.1 26539
NW_020131593.1 45495
NW_020131594.1 26528
NW_020131595.1 26524
NW_020131596.1 34581
NW_020131597.1 77558
NW_020131598.1 46549
NW_020131599.1 26458
NW_020131600.1 34756
NW_020131601.1 39112
NW_020131602.1 26399
NW_020131603.1 31694
NW_020131604.1 26382
NW_020131605.1 42935
NW_020131606.1 28184
NW_020131607.1 26297
NW_020131608.1 43994
NW_020131609.1 57133
NW_020131610.1 26270
NW_020131611.1 84268
NW_020131612.1 44658
NW_020131613.1 46184
NW_020131614.1 26190
NW_020131615.1 26167
NW_020131616.1 31360
NW_020131617.1 58484
NW_020131618.1 36363
NW_020131619.1 36771
NW_020131620.1 26074
NW_020131621.1 44474
NW_020131622.1 26051
NW_020131623.1 26006
NW_020131624.1 25994
NW_020131625.1 34972
NW_020131626.1 25946
NW_020131627.1 58851
NW_020131628.1 25909
NW_020131629.1 41788
NW_020131630.1 56517
NW_020131631.1 25835
NW_020131632.1 25831
NW_020131633.1 25817
NW_020131634.1 60185
NW_020131635.1 25807
NW_020131636.1 29511
NW_020131637.1 32840
NW_020131638.1 48076
NW_020131639.1 25781
NW_020131640.1 25773
NW_020131641.1 25770
NW_020131642.1 25762
NW_020131643.1 28572
NW_020131644.1 40724
NW_020131645.1 25690
NW_020131646.1 25679
NW_020131647.1 25673
NW_020131648.1 40933
NW_020131649.1 99269
NW_020131650.1 52086
NW_020131651.1 25646
NW_020131652.1 28328
NW_020131653.1 73814
NW_020131654.1 25610
NW_020131655.1 64530
NW_020131656.1 112371
NW_020131657.1 27059
NW_020131658.1 29702
NW_020131659.1 25533
NW_020131660.1 28950
NW_020131661.1 25484
NW_020131662.1 25473
NW_020131663.1 26580
NW_020131664.1 25458
NW_020131665.1 42329
NW_020131666.1 25420
NW_020131667.1 25417
NW_020131668.1 48741
NW_020131669.1 25387
NW_020131670.1 58746
NW_020131671.1 55416
NW_020131672.1 55879
NW_020131673.1 25309
NW_020131674.1 37692
NW_020131675.1 25302
NW_020131676.1 25275
NW_020131677.1 25274
NW_020131678.1 25249
NW_020131679.1 56768
NW_020131680.1 30587
NW_020131681.1 40889
NW_020131682.1 25223
NW_020131683.1 35472
NW_020131684.1 25187
NW_020131685.1 37621
NW_020131686.1 25170
NW_020131687.1 25158
NW_020131688.1 47119
NW_020131689.1 25149
NW_020131690.1 25097
NW_020131691.1 46849
NW_020131692.1 36148
NW_020131693.1 25074
NW_020131694.1 25064
NW_020131695.1 25028
NW_020131696.1 28645
NW_020131697.1 34252
NW_020131698.1 25000
NW_020131699.1 31935
NW_020131700.1 24980
NW_020131701.1 24979
NW_020131702.1 24972
NW_020131703.1 24958
NW_020131704.1 24957
NW_020131705.1 51348
NW_020131706.1 24946
NW_020131707.1 24937
NW_020131708.1 24925
NW_020131709.1 28511
NW_020131710.1 24920
NW_020131711.1 24904
NW_020131712.1 105962
NW_020131713.1 24880
NW_020131714.1 24860
NW_020131715.1 24844
NW_020131716.1 40978
NW_020131717.1 58339
NW_020131718.1 31867
NW_020131719.1 46962
NW_020131720.1 69836
NW_020131721.1 55830
NW_020131722.1 24792
NW_020131723.1 24787
NW_020131724.1 24781
NW_020131725.1 40476
NW_020131726.1 24735
NW_020131727.1 24730
NW_020131728.1 24676
NW_020131729.1 24675
NW_020131730.1 24665
NW_020131731.1 24661
NW_020131732.1 24659
NW_020131733.1 24650
NW_020131734.1 44340
NW_020131735.1 31412
NW_020131736.1 24583
NW_020131737.1 24577
NW_020131738.1 53909
NW_020131739.1 24571
NW_020131740.1 24559
NW_020131741.1 24543
NW_020131742.1 24485
NW_020131743.1 24474
NW_020131744.1 45113
NW_020131745.1 24458
NW_020131746.1 61036
NW_020131747.1 24385
NW_020131748.1 52670
NW_020131749.1 24325
NW_020131750.1 47944
NW_020131751.1 24314
NW_020131752.1 24275
NW_020131753.1 24271
NW_020131754.1 68526
NW_020131755.1 24265
NW_020131756.1 24244
NW_020131757.1 24244
NW_020131758.1 25486
NW_020131759.1 24228
NW_020131760.1 24202
NW_020131761.1 24199
NW_020131762.1 24199
NW_020131763.1 24174
NW_020131764.1 24124
NW_020131765.1 24111
NW_020131766.1 24101
NW_020131767.1 24098
NW_020131768.1 30567
NW_020131769.1 24073
NW_020131770.1 33698
NW_020131771.1 27230
NW_020131772.1 24047
NW_020131773.1 24035
NW_020131774.1 70951
NW_020131775.1 24023
NW_020131776.1 27709
NW_020131777.1 44328
NW_020131778.1 24011
NW_020131779.1 23999
NW_020131780.1 23993
NW_020131781.1 107114
NW_020131782.1 45479
NW_020131783.1 40384
NW_020131784.1 23972
NW_020131785.1 56282
NW_020131786.1 23937
NW_020131787.1 47593
NW_020131788.1 56133
NW_020131789.1 23903
NW_020131790.1 32059
NW_020131791.1 23883
NW_020131792.1 34888
NW_020131793.1 23873
NW_020131794.1 23871
NW_020131795.1 23863
NW_020131796.1 42649
NW_020131797.1 23847
NW_020131798.1 23842
NW_020131799.1 43291
NW_020131800.1 23832
NW_020131801.1 76842
NW_020131802.1 23817
NW_020131803.1 23806
NW_020131804.1 40980
NW_020131805.1 23797
NW_020131806.1 23763
NW_020131807.1 23750
NW_020131808.1 23737
NW_020131809.1 23736
NW_020131810.1 23733
NW_020131811.1 23720
NW_020131812.1 35047
NW_020131813.1 23689
NW_020131814.1 23654
NW_020131815.1 23646
NW_020131816.1 44653
NW_020131817.1 23618
NW_020131818.1 31068
NW_020131819.1 23612
NW_020131820.1 23612
NW_020131821.1 59729
NW_020131822.1 23590
NW_020131823.1 23577
NW_020131824.1 23565
NW_020131825.1 34529
NW_020131826.1 23555
NW_020131827.1 52793
NW_020131828.1 54750
NW_020131829.1 23519
NW_020131830.1 23508
NW_020131831.1 40190
NW_020131832.1 23433
NW_020131833.1 23400
NW_020131834.1 48612
NW_020131835.1 23371
NW_020131836.1 48003
NW_020131837.1 23360
NW_020131838.1 37429
NW_020131839.1 23353
NW_020131840.1 23346
NW_020131841.1 23335
NW_020131842.1 23332
NW_020131843.1 31743
NW_020131844.1 23332
NW_020131845.1 23298
NW_020131846.1 23298
NW_020131847.1 78436
NW_020131848.1 23237
NW_020131849.1 32406
NW_020131850.1 41109
NW_020131851.1 41704
NW_020131852.1 44203
NW_020131853.1 23120
NW_020131854.1 23113
NW_020131855.1 23111
NW_020131856.1 23108
NW_020131857.1 23104
NW_020131858.1 23098
NW_020131859.1 23090
NW_020131860.1 61067
NW_020131861.1 23066
NW_020131862.1 46269
NW_020131863.1 23049
NW_020131864.1 23021
NW_020131865.1 23012
NW_020131866.1 23006
NW_020131867.1 31480
NW_020131868.1 22998
NW_020131869.1 22975
NW_020131870.1 33685
NW_020131871.1 22944
NW_020131872.1 22935
NW_020131873.1 48747
NW_020131874.1 35584
NW_020131875.1 38770
NW_020131876.1 54140
NW_020131877.1 61618
NW_020131878.1 22852
NW_020131879.1 31446
NW_020131880.1 22801
NW_020131881.1 36943
NW_020131882.1 22767
NW_020131883.1 22735
NW_020131884.1 22723
NW_020131885.1 22702
NW_020131886.1 22686
NW_020131887.1 22685
NW_020131888.1 22680
NW_020131889.1 22670
NW_020131890.1 22655
NW_020131891.1 22655
NW_020131892.1 27076
NW_020131893.1 22654
NW_020131894.1 65641
NW_020131895.1 31061
NW_020131896.1 22621
NW_020131897.1 25610
NW_020131898.1 22619
NW_020131899.1 54498
NW_020131900.1 22603
NW_020131901.1 22585
NW_020131902.1 22573
NW_020131903.1 41679
NW_020131904.1 148008
NW_020131905.1 39334
NW_020131906.1 22514
NW_020131907.1 31025
NW_020131908.1 36720
NW_020131909.1 22475
NW_020131910.1 40097
NW_020131911.1 53685
NW_020131912.1 24590
NW_020131913.1 49838
NW_020131914.1 45839
NW_020131915.1 22409
NW_020131916.1 22406
NW_020131917.1 22400
NW_020131918.1 22399
NW_020131919.1 22377
NW_020131920.1 22373
NW_020131921.1 22360
NW_020131922.1 22317
NW_020131923.1 22311
NW_020131924.1 22294
NW_020131925.1 22278
NW_020131926.1 22273
NW_020131927.1 22264
NW_020131928.1 22260
NW_020131929.1 50605
NW_020131930.1 22238
NW_020131931.1 26236
NW_020131932.1 22193
NW_020131933.1 33217
NW_020131934.1 26047
NW_020131935.1 44488
NW_020131936.1 22155
NW_020131937.1 22149
NW_020131938.1 46714
NW_020131939.1 22107
NW_020131940.1 35622
NW_020131941.1 30157
NW_020131942.1 22090
NW_020131943.1 22085
NW_020131944.1 54747
NW_020131945.1 22069
NW_020131946.1 23928
NW_020131947.1 83335
NW_020131948.1 22003
NW_020131949.1 28778
NW_020131950.1 21960
NW_020131951.1 21955
NW_020131952.1 33919
NW_020131953.1 21929
NW_020131954.1 21921
NW_020131955.1 30505
NW_020131956.1 38487
NW_020131957.1 29536
NW_020131958.1 36670
NW_020131959.1 21869
NW_020131960.1 21867
NW_020131961.1 36302
NW_020131962.1 32942
NW_020131963.1 49578
NW_020131964.1 21819
NW_020131965.1 21799
NW_020131966.1 26350
NW_020131967.1 21780
NW_020131968.1 28540
NW_020131969.1 21768
NW_020131970.1 21761
NW_020131971.1 21735
NW_020131972.1 21735
NW_020131973.1 21729
NW_020131974.1 21728
NW_020131975.1 33877
NW_020131976.1 32087
NW_020131977.1 46555
NW_020131978.1 74264
NW_020131979.1 21691
NW_020131980.1 21686
NW_020131981.1 21673
NW_020131982.1 21669
NW_020131983.1 21665
NW_020131984.1 21658
NW_020131985.1 23681
NW_020131986.1 21650
NW_020131987.1 21633
NW_020131988.1 30852
NW_020131989.1 30098
NW_020131990.1 21576
NW_020131991.1 31920
NW_020131992.1 72925
NW_020131993.1 21558
NW_020131994.1 21557
NW_020131995.1 21543
NW_020131996.1 21538
NW_020131997.1 32826
NW_020131998.1 21488
NW_020131999.1 53536
NW_020132000.1 21448
NW_020132001.1 21440
NW_020132002.1 21423
NW_020132003.1 21411
NW_020132004.1 21411
NW_020132005.1 21368
NW_020132006.1 21356
NW_020132007.1 35880
NW_020132008.1 52766
NW_020132009.1 32024
NW_020132010.1 21288
NW_020132011.1 34802
NW_020132012.1 60484
NW_020132013.1 46016
NW_020132014.1 21239
NW_020132015.1 34405
NW_020132016.1 21237
NW_020132017.1 39361
NW_020132018.1 21232
NW_020132019.1 44151
NW_020132020.1 21194
NW_020132021.1 32230
NW_020132022.1 50899
NW_020132023.1 21164
NW_020132024.1 21153
NW_020132025.1 21112
NW_020132026.1 61380
NW_020132027.1 21105
NW_020132028.1 21101
NW_020132029.1 21059
NW_020132030.1 21041
NW_020132031.1 36316
NW_020132032.1 21014
NW_020132033.1 21012
NW_020132034.1 21010
NW_020132035.1 21000
NW_020132036.1 26459
NW_020132037.1 20983
NW_020132038.1 20960
NW_020132039.1 20948
NW_020132040.1 46033
NW_020132041.1 49949
NW_020132042.1 27122
NW_020132043.1 20865
NW_020132044.1 91149
NW_020132045.1 20853
NW_020132046.1 20847
NW_020132047.1 20831
NW_020132048.1 32886
NW_020132049.1 20799
NW_020132050.1 20773
NW_020132051.1 20763
NW_020132052.1 39580
NW_020132053.1 20751
NW_020132054.1 28711
NW_020132055.1 55329
NW_020132056.1 20694
NW_020132057.1 20684
NW_020132058.1 39557
NW_020132059.1 20675
NW_020132060.1 20644
NW_020132061.1 20636
NW_020132062.1 20627
NW_020132063.1 25076
NW_020132064.1 20600
NW_020132065.1 20590
NW_020132066.1 20568
NW_020132067.1 29433
NW_020132068.1 39863
NW_020132069.1 31210
